"referee","games","name","value","perGame","league_average","zscore","avg_zscore","refDuplicate"
"Eric Lewis",50,"Shooting",331,6.62,6.52798952723841,0.0140947641502287,0.0161345091819935,"Eric Lewis"
"James Williams",45,"Shooting",297,6.6,6.52798952723841,0.0110310337449409,0.110649740540963,"James Williams"
"Brian Forte",52,"Personal",222,4.26923076923077,4.22352125520297,0.0108226077876334,-0.118729547251908,"Brian Forte"
"Jacyn Goble",45,"Personal",192,4.26666666666667,4.22352125520297,0.0102155071222955,-0.18750172746637,"Jacyn Goble"
"John Goble",49,"Personal",209,4.26530612244898,4.22352125520297,0.00989337207538154,-0.0916506103157963,"John Goble"
"Eric Lewis",50,"Def. 3 secs",6,0.12,0.118978400034626,0.00858643220178146,0.0161345091819935,"Eric Lewis"
"David Guthrie",36,"All fouls",492,13.6666666666667,13.5725279707713,0.00693597361509326,-0.0148083516336128,"David Guthrie"
"Rodney Mott",48,"Off. charge",18,0.375,0.37304410415833,0.00524306863415755,0.159523928154228,"Rodney Mott"
"Scott Wall",45,"Offensive",4,0.0888888888888889,0.0885186864460105,0.00418219539559249,-0.00113243705699691,"Scott Wall"
"JB DeRosa",51,"Shooting",334,6.54901960784314,6.52798952723841,0.00322152486871739,-0.159297686712159,"JB DeRosa"
"Tre Maddox",36,"All fouls",490,13.6111111111111,13.5725279707713,0.00284273794999127,-0.219705369901467,"Tre Maddox"
"Rodney Mott",48,"Shooting",314,6.54166666666667,6.52798952723841,0.00209515339618522,0.159523928154228,"Rodney Mott"
"JB DeRosa",51,"All fouls",693,13.5882352941176,13.5725279707713,0.00115728797024339,-0.159297686712159,"JB DeRosa"
"Derrick Collins",50,"Loose ball",34,0.68,0.681468775345121,-0.0021553083549233,-0.137333094852853,"Derrick Collins"
"Kevin Scott",47,"Shooting",306,6.51063829787234,6.52798952723841,-0.00265797444889772,-0.193461001598405,"Kevin Scott"
"John Goble",49,"All fouls",663,13.530612244898,13.5725279707713,-0.00308827699331976,-0.0916506103157963,"John Goble"
"Tom Washington",34,"Offensive",3,0.0882352941176471,0.0885186864460105,-0.00320149721761037,-0.0479063795865843,"Tom Washington"
"Josh Tiven",54,"All fouls",729,13.5,13.5725279707713,-0.00534373338021271,-0.127243121114654,"Josh Tiven"
"Curtis Blair",53,"All fouls",714,13.4716981132075,13.5725279707713,-0.00742896664356662,0.0434214044346208,"Curtis Blair"
"Ken Mauer",48,"Shooting",310,6.45833333333333,6.52798952723841,-0.0106703899591803,0.0206302978184057,"Ken Mauer"
"Dedric Taylor",54,"All fouls",724,13.4074074074074,13.5725279707713,-0.0121657928220494,-0.155577317633578,"Dedric Taylor"
"Josh Tiven",54,"Shooting",348,6.44444444444444,6.52798952723841,-0.0127979805184078,-0.127243121114654,"Josh Tiven"
"Ed Malloy",44,"All fouls",589,13.3863636363636,13.5725279707713,-0.0137162608770122,-0.164431122256461,"Ed Malloy"
"Ken Mauer",48,"All fouls",639,13.3125,13.5725279707713,-0.019158403749932,0.0206302978184057,"Ken Mauer"
"Tyler Ford",45,"Personal",186,4.13333333333333,4.22352125520297,-0.0213537274752761,0.254300662867106,"Tyler Ford"
"JB DeRosa",51,"Loose ball",34,0.666666666666667,0.681468775345121,-0.0217208905440426,-0.159297686712159,"JB DeRosa"
"Bill Kennedy",43,"Def. 3 secs",5,0.116279069767442,0.118978400034626,-0.0226875656959482,-0.321515362565038,"Bill Kennedy"
"Kevin Scott",47,"Personal",194,4.12765957446809,4.22352125520297,-0.0226970991602793,-0.193461001598405,"Kevin Scott"
"Sean Corbin",47,"Technical",11,0.234042553191489,0.240835552386347,-0.0282059651390672,0.266135685555513,"Sean Corbin"
"James Capers",52,"Personal",213,4.09615384615385,4.22352125520297,-0.0301566871226761,0.0593760708651692,"James Capers"
"Ben Taylor",49,"Shooting",310,6.3265306122449,6.52798952723841,-0.0308607901640949,0.477745758715786,"Ben Taylor"
"Brent Barnaky",45,"Shooting",284,6.31111111111111,6.52798952723841,-0.0332228498869925,-0.229260187984232,"Brent Barnaky"
"Courtney Kirkland",45,"Shooting",284,6.31111111111111,6.52798952723841,-0.0332228498869925,-0.028034642381387,"Courtney Kirkland"
"Mark Lindsay",30,"Shooting",189,6.3,6.52798952723841,-0.0349249223343746,0.183071883270505,"Mark Lindsay"
"James Capers",52,"All fouls",681,13.0961538461538,13.5725279707713,-0.0350984080226849,0.0593760708651692,"James Capers"
"John Goble",49,"Shooting",308,6.28571428571429,6.52798952723841,-0.0371133011952943,-0.0916506103157963,"John Goble"
"Kevin Scott",47,"All fouls",614,13.063829787234,13.5725279707713,-0.0374799878572901,-0.193461001598405,"Kevin Scott"
"Tony Brothers",47,"Offensive",4,0.0851063829787234,0.0885186864460105,-0.0385489618552838,0.355937372199893,"Tony Brothers"
"Brian Forte",52,"Shooting",325,6.25,6.52798952723841,-0.0425842483475938,-0.118729547251908,"Brian Forte"
"Jacyn Goble",45,"Off. charge",16,0.355555555555556,0.37304410415833,-0.0468806460357617,-0.18750172746637,"Jacyn Goble"
"Sean Wright",45,"Off. charge",16,0.355555555555556,0.37304410415833,-0.0468806460357617,0.0871244013820671,"Sean Wright"
"Michael Smith",46,"Personal",184,4,4.22352125520297,-0.0529229620728479,0.109938049766203,"Michael Smith"
"Pat Fraher",22,"Shooting",136,6.18181818181818,6.52798952723841,-0.0530287838201655,-0.15806797374981,"Pat Fraher"
"Ed Malloy",44,"Technical",10,0.227272727272727,0.240835552386347,-0.0563157099490943,-0.164431122256461,"Ed Malloy"
"Pat Fraher",22,"Technical",5,0.227272727272727,0.240835552386347,-0.0563157099490943,-0.15806797374981,"Pat Fraher"
"Ed Malloy",44,"Shooting",271,6.15909090909091,6.52798952723841,-0.056510295644356,-0.164431122256461,"Ed Malloy"
"Courtney Kirkland",45,"All fouls",575,12.7777777777778,13.5725279707713,-0.0585557970265387,-0.028034642381387,"Courtney Kirkland"
"Ken Mauer",48,"Offensive",4,0.0833333333333333,0.0885186864460105,-0.0585791918166321,0.0206302978184057,"Ken Mauer"
"Rodney Mott",48,"Offensive",4,0.0833333333333333,0.0885186864460105,-0.0585791918166321,0.159523928154228,"Rodney Mott"
"Zach Zarba",53,"Loose ball",34,0.641509433962264,0.681468775345121,-0.0586370833537013,-0.14755039031027,"Zach Zarba"
"Curtis Blair",53,"Shooting",325,6.13207547169811,6.52798952723841,-0.0606486964919788,0.0434214044346208,"Curtis Blair"
"Brent Barnaky",45,"Def. 3 secs",5,0.111111111111111,0.118978400034626,-0.0661236738872394,-0.229260187984232,"Brent Barnaky"
"David Guthrie",36,"Def. 3 secs",4,0.111111111111111,0.118978400034626,-0.0661236738872394,-0.0148083516336128,"David Guthrie"
"Derrick Collins",50,"Personal",197,3.94,4.22352125520297,-0.0671291176417552,-0.137333094852853,"Derrick Collins"
"Brian Forte",52,"All fouls",658,12.6538461538462,13.5725279707713,-0.0676868612025356,-0.118729547251908,"Brian Forte"
"Rodney Mott",48,"Personal",189,3.9375,4.22352125520297,-0.0677210407904597,0.159523928154228,"Rodney Mott"
"David Guthrie",36,"Shooting",218,6.05555555555556,6.52798952723841,-0.0723705161767798,-0.0148083516336128,"David Guthrie"
"Marc Davis",56,"All fouls",700,12.5,13.5725279707713,-0.0790219753520488,-0.155074304941386,"Marc Davis"
"Tre Maddox",36,"Personal",140,3.88888888888889,4.22352125520297,-0.0792306575708244,-0.219705369901467,"Tre Maddox"
"Derrick Collins",50,"Shooting",300,6,6.52798952723841,-0.08088087841369,-0.137333094852853,"Derrick Collins"
"Dedric Taylor",54,"Personal",209,3.87037037037037,4.22352125520297,-0.0836152734871538,-0.155577317633578,"Dedric Taylor"
"Kevin Scott",47,"Off. charge",16,0.340425531914894,0.37304410415833,-0.0874389164172187,-0.193461001598405,"Kevin Scott"
"Kevin Scott",47,"Loose ball",29,0.617021276595745,0.681468775345121,-0.0945714625248053,-0.193461001598405,"Kevin Scott"
"Ben Taylor",49,"Personal",187,3.81632653061224,4.22352125520297,-0.0964111934062376,0.477745758715786,"Ben Taylor"
"Derrick Collins",50,"All fouls",612,12.24,13.5725279707713,-0.0981783182647262,-0.137333094852853,"Derrick Collins"
"John Goble",49,"Loose ball",30,0.612244897959184,0.681468775345121,-0.101580409683304,-0.0916506103157963,"John Goble"
"JB DeRosa",51,"Technical",11,0.215686274509804,0.240835552386347,-0.10442510512816,-0.159297686712159,"JB DeRosa"
"Tyler Ford",45,"Off. charge",15,0.333333333333333,0.37304410415833,-0.106450605658527,0.254300662867106,"Tyler Ford"
"James Capers",52,"Shooting",303,5.82692307692308,6.52798952723841,-0.107393929997911,0.0593760708651692,"James Capers"
"Marc Davis",56,"Technical",12,0.214285714285714,0.240835552386347,-0.110240526523432,-0.155074304941386,"Marc Davis"
"Curtis Blair",53,"Loose ball",32,0.60377358490566,0.681468775345121,-0.114011372568189,0.0434214044346208,"Curtis Blair"
"Eric Lewis",50,"Loose ball",30,0.6,0.681468775345121,-0.119548801489638,0.0161345091819935,"Eric Lewis"
